ticker,begin,close,standclose,aligned
TTLK,2019-11-01,0.195,-1.9562480272988587,-1.845028441734578
TTLK,2019-11-05,0.198,-1.9350690534418817,-1.855635535298871
TTLK,2019-11-06,0.2005,-1.9174199085610675,-1.8654602261405615
TTLK,2019-11-07,0.2005,-1.9174199085610675,-1.8745053670248675
TTLK,2019-11-08,0.2005,-1.9174199085610675,-1.8827738107170062
TTLK,2019-11-11,0.2,-1.9209497375372302,-1.8902684099821934
TTLK,2019-11-12,0.2015,-1.9103602506087416,-1.8969920175856467
TTLK,2019-11-13,0.204,-1.8927111057279278,-1.9029474862925824
TTLK,2019-11-14,0.202,-1.9068304216325789,-1.9081376688682172
TTLK,2019-11-15,0.203,-1.8997707636802532,-1.9125654180777687
TTLK,2019-11-18,0.2045,-1.8891812767517646,-1.9162335866864533
TTLK,2019-11-19,0.204,-1.8927111057279278,-1.919145027459488
TTLK,2019-11-20,0.2025,-1.903300592656416,-1.92130259316209
TTLK,2019-11-21,0.2015,-1.9103602506087416,-1.922709136559475
TTLK,2019-11-22,0.208,-1.8644724739186251,-1.923367510416862
TTLK,2019-11-25,0.2075,-1.8680023028947876,-1.9232805674994649
TTLK,2019-11-26,0.208,-1.8644724739186251,-1.9224511605725034
TTLK,2019-11-27,0.2075,-1.8680023028947876,-1.9208821424011924
TTLK,2019-11-28,0.208,-1.8644724739186251,-1.918576365750749
TTLK,2019-11-29,0.208,-1.8644724739186251,-1.9155366833863905
TTLK,2019-12-02,0.207,-1.8715321318709508,-1.9117659480733358
TTLK,2019-12-03,0.2075,-1.8680023028947876,-1.9072670125767979
TTLK,2019-12-04,0.208,-1.8644724739186251,-1.9020427296619964
TTLK,2019-12-05,0.207,-1.8715321318709508,-1.896095952094146
TTLK,2019-12-06,0.206,-1.8785917898232765,-1.889429532638467
TTLK,2019-12-09,0.207,-1.8715321318709508,-1.882046324060172
TTLK,2019-12-10,0.2085,-1.8609426449424618,-1.8739491791244811
TTLK,2019-12-11,0.2105,-1.8468233290378104,-1.8651409505966097
TTLK,2019-12-12,0.212,-1.8362338421093223,-1.855624491241774
TTLK,2019-12-13,0.2135,-1.8256443551808335,-1.8454026538251935
TTLK,2019-12-16,0.217,-1.8009355523476938,-1.8344782911120823
TTLK,2019-12-17,0.214,-1.822114526204671,-1.822854255867659
TTLK,2019-12-18,0.217,-1.8009355523476938,-1.810533400857138
