ABRD
AFKS
AFLT
AKRN
ALRS
AMEZ
APTK
AQUA
ARSA
ASSB
AVAN
BANE
BELU
BLNG
BRZL
BSPB
CBOM
CHGZ
CHKZ
CHMF
CHMK
CNTL
DIOD
DSKY
DVEC
DZRD
EELT
ELFV
ELTZ
ENPG
FEES
FESH
FLOT
GAZA
GAZP
GCHE
GEMA
GMKN
GRNT
GTRK
HYDR
IGST
INGR
IRAO
IRKT
ISKJ
JNOS
KAZT
KBSB
KCHE
KGKC
KLSB
KMAZ
KMEZ
KMTZ
KOGK
KRKN
KROT
KRSB
KTSB
KUBE
KUZB
KZOS
LENT
LIFE
LKOH
LNZL
LPSB
LSNG
LSRG
LVHK
MAGE
MAGN
MERF
MFGS
MGNT
MGTS
MISB
MOEX
MRKC
MRKK
MRKP
MRKS
MRKU
MRKV
MRKY
MRKZ
MRSB
MSNG
MSRS
MSTT
MTLR
MTSS
MVID
NAUK
NFAZ
NKHP
NKNC
NKSH
NLMK
NMTP
NNSB
NSVZ
NVTK
ODVA
OGKB
ORUP
PAZA
PHOR
PIKK
PLZL
PMSB
POLY
POSI
PRFN
PRMB
RASP
RBCM
RDRB
RENI
RGSS
RKKE
RNFT
ROLO
ROSB
ROSN
ROST
RTGZ
RTKM
RTSB
RUAL
RUGR
RUSI
RZSB
SAGO
SARE
SBER
SELG
SFIN
SGZH
SIBN
SLEN
SMLT
SNGS
SPBE
STSB
SVAV
SVET
TASB
TATN
TGKA
TGKB
TGKN
TNSE
TORS
TRMK
TTLK
TUZA
UCSS
UKUZ
UNAC
UNKL
UPRO
URKZ
USBN
UTAR
UWGN
VEON-RX
VGSB
VJGZ
VLHZ
VRSB
VSMO
VSYD
VTBR
WTCM
WUSH
YAKG
YKEN
YNDX
YRSB
ZILL
ZVEZ
